Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Conn_01x03,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,6.096,5.18,-90.0,top
SW1,~,TTP223,43.18,5.307,0.0,top
